ResponseID,Lastpage,Startlanguage,CONSENT,INSPT1,INSPT2,INSPT3,INSPT4,INSPT5,LPT1,LPT2,LPT3,LPT4,LPT5,TECH1,TECH2,TECH3,TECH4,TECH5,SEFF1,SEFF2,SEFF3,SEFF4,SEFF5,EXP1,TLX1,TLX2,TLX3,TLX4,TLX5,TLX6,ATT1,ATT2,ATT3,ATT4,ATT5,BEH1,BEH2,BEH3,BEH4,BEH5
5,10,en,Yes,2,4,4,3,3,3,5,5,1,5,4,4,4,2,2,4,4,5,5,4,2,5,4,4,4,5,3,3,2,3,5,4,3,4,2,4,4
7,10,en,Yes,2,3,2,4,2,2,4,3,4,4,4,4,4,4,4,3,5,4,4,4,2,4,3,3,3,4,2,3,3,2,2,2,2,3,3,4,4
17,10,en,Yes,3,4,2,4,4,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,3,4,2,2,4,4,2,4,4,3,3,4,3,4,4,4,4
19,10,en,Yes,3,5,4,4,5,2,4,4,3,4,4,4,4,4,4,5,5,4,4,4,4,4,2,2,4,4,1,4,4,5,1,4,5,4,4,4,4
31,10,en,Yes,3,4,3,3,3,3,2,2,2,3,5,5,4,5,4,3,4,5,4,4,2,4,3,3,5,4,2,4,4,4,4,4,4,4,4,4,4
33,10,en,Yes,3,5,2,4,2,3,2,3,3,4,4,4,5,4,3,4,5,3,3,3,1,5,4,3,4,5,4,4,3,4,3,4,2,4,4,4,4
37,10,en,Yes,2,2,2,2,1,2,4,4,4,4,5,5,5,5,4,4,4,2,4,3,3,3,3,3,4,4,3,2,3,4,4,2,3,4,5,3,4
47,10,en,Yes,3,3,3,4,4,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,4,4,3,3,2,4,4,2,2,2,2,2,2,3,3,3,2
51,10,en,Yes,4,2,2,4,3,3,2,2,2,2,3,2,3,4,4,2,3,4,2,2,3,4,3,3,2,4,4,2,2,3,2,3,4,2,2,3,2
53,10,en,Yes,2,3,2,2,3,4,3,2,4,4,3,2,3,2,3,2,4,2,3,2,2,5,3,3,3,4,4,3,2,4,2,2,1,2,2,2,3
55,10,en,Yes,3,3,4,3,2,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,4,4,4,3
57,10,en,Yes,2,3,4,4,4,2,4,2,4,5,2,1,2,3,4,2,4,3,5,4,4,5,4,4,2,4,4,1,2,4,1,1,4,2,2,4,2
65,10,en,Yes,3,4,1,4,4,3,4,3,5,5,2,3,1,2,4,4,4,2,4,2,2,5,4,4,1,5,4,2,1,3,2,2,1,3,2,4,3
67,10,en,Yes,3,4,3,1,3,2,5,5,4,5,5,3,4,4,4,3,4,2,2,3,3,4,3,2,3,3,3,1,2,4,4,4,4,4,4,4,4
73,10,en,Yes,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,2,4,4,2,2,4,3,4,3,3,3
101,10,en,Yes,2,1,4,3,3,2,2,2,4,2,4,4,2,4,3,3,4,4,4,4,4,3,4,3,5,4,1,4,4,4,2,4,4,4,4,4,4
103,10,en,Yes,4,4,4,4,4,2,1,1,2,3,5,5,3,4,2,4,5,5,5,5,3,4,4,3,4,3,2,4,4,4,2,4,3,4,4,4,4
109,10,en,Yes,2,2,2,2,2,3,2,2,3,4,1,1,3,1,2,4,5,4,4,3,1,4,4,4,3,3,2,2,2,1,3,2,2,3,3,3,3
111,10,en,Yes,5,4,3,3,4,2,4,4,3,4,4,4,4,4,4,3,4,3,5,4,1,4,4,3,4,5,4,2,3,4,2,3,2,4,4,4,4
119,10,en,Yes,4,3,2,5,2,1,4,3,2,2,4,3,2,5,2,3,4,4,4,4,1,4,3,4,2,4,3,3,2,5,3,3,4,4,5,5,4
125,10,en,Yes,2,3,3,3,3,4,2,4,4,4,4,3,3,5,4,4,4,4,4,4,1,4,4,4,3,4,2,4,4,4,4,4,4,4,4,4,4
135,10,en,Yes,5,3,1,1,4,3,5,3,2,2,5,5,1,4,5,5,4,5,5,5,4,5,3,3,5,5,3,5,5,5,1,5,5,3,5,3,4
175,10,en,Yes,3,4,2,4,5,1,4,4,3,5,3,4,4,3,4,2,4,2,4,4,3,4,4,4,3,3,4,1,2,1,3,3,2,3,4,4,3
185,10,en,Yes,2,1,1,1,2,4,1,1,2,4,4,4,1,4,4,3,4,4,4,4,3,5,4,3,2,4,4,4,2,1,5,2,3,3,4,4,4
187,10,en,Yes,1,2,1,2,2,3,4,4,5,4,3,4,1,4,4,3,4,4,4,3,2,5,4,3,2,4,4,3,2,1,2,2,2,2,3,4,2
189,10,en,Yes,1,3,2,4,2,2,4,3,4,4,1,2,2,2,2,4,4,4,3,3,1,4,5,4,3,5,2,2,4,5,1,1,5,3,4,4,4
191,10,en,Yes,3,3,5,5,3,2,1,1,1,1,4,4,3,5,2,2,4,4,5,5,2,2,2,1,2,3,3,4,2,1,3,1,2,1,3,4,4
193,10,en,Yes,2,2,3,3,3,1,3,3,3,3,4,2,1,3,3,3,2,3,3,2,2,3,2,1,4,3,3,4,5,2,2,4,3,3,2,4,3
195,10,en,Yes,3,1,3,1,3,3,2,3,2,4,5,5,5,5,4,4,3,4,4,3,2,3,4,3,3,4,4,3,2,1,2,2,3,3,4,5,5
197,10,en,Yes,4,4,3,4,4,3,2,2,3,4,4,4,3,4,4,3,4,3,3,4,2,4,2,3,4,3,3,3,3,2,3,3,2,3,3,4,4
